review_decision,corrected_label,corrected_text,notes,entity_id,sentence_id,package_id,document_number,label,text,start,end,confidence,source_probes,quality_flags,row_quality_flags,left_context,right_context,sentence_text
,,,,ent_6d803a9ee0e2b8c2,118_2025_qh15.dieu_4.khoan_4.diem_a.text_1.passage.s001,118_2025_QH15,118/2025/QH15,REGULATED_SUBJECT,chủ sở hữu chỗ ở hợp pháp,172,197,0.9,entities_probe_2000,,," sở hữu của mình khi về ở với cha, mẹ, người giám hộ mà không cần sự đồng ý của chủ hộ và ", đó.,"""2. Người dưới 6 tuổi được đăng ký thường trú tại chỗ ở hợp pháp không thuộc quyền sở hữu của mình khi về ở với cha, mẹ, người giám hộ mà không cần sự đồng ý của chủ hộ và chủ sở hữu chỗ ở hợp pháp đó."
,,,,ent_0906098f3407d6a4,118_2025_qh15.dieu_5.khoan_7.diem_a.text_1.passage.s001,118_2025_QH15,118/2025/QH15,PROCEDURE,Ban hành theo thẩm quyền,4,28,0.9,entities_probe_2000,,,"""1. "," hoặc trình cơ quan có thẩm quyền ban hành văn bản quy phạm pháp luật về căn cước, Cơ sở d","""1. Ban hành theo thẩm quyền hoặc trình cơ quan có thẩm quyền ban hành văn bản quy phạm pháp luật về căn cước, Cơ sở dữ liệu quốc gia về dân cư, Cơ sở dữ liệu căn cước, định danh và xác thực điện tử;"
,,,,ent_970dd0f07e038bb0,118_2025_qh15.dieu_5.khoan_7.diem_a.text_1.passage.s001,118_2025_QH15,118/2025/QH15,PROCEDURE,trình cơ quan có thẩm quyền,34,61,0.9,entities_probe_2000,,,"""1. Ban hành theo thẩm quyền hoặc "," ban hành văn bản quy phạm pháp luật về căn cước, Cơ sở dữ liệu quốc gia về dân cư, Cơ sở ","""1. Ban hành theo thẩm quyền hoặc trình cơ quan có thẩm quyền ban hành văn bản quy phạm pháp luật về căn cước, Cơ sở dữ liệu quốc gia về dân cư, Cơ sở dữ liệu căn cước, định danh và xác thực điện tử;"
,,,,ent_0bb028eee07e1b7d,118_2025_qh15.dieu_9.khoan_9.text_1.passage.s004,118_2025_QH15,118/2025/QH15,REGULATED_SUBJECT,họ tên,0,6,0.9,entities_probe_2000,,,,", số định danh cá nhân hoặc số hộ chiếu của người đại diện theo pháp luật;","họ tên, số định danh cá nhân hoặc số hộ chiếu của người đại diện theo pháp luật;"
,,,,ent_afe642eaad21d7e4,118_2025_qh15.dieu_9.khoan_9.text_1.passage.s004,118_2025_QH15,118/2025/QH15,VEHICLE_IDENTIFIER,số định danh cá nhân,8,28,0.9,entities_probe_2000,,,"họ tên, ", hoặc số hộ chiếu của người đại diện theo pháp luật;,"họ tên, số định danh cá nhân hoặc số hộ chiếu của người đại diện theo pháp luật;"
,,,,ent_dcd41e6c8bb66671,118_2025_qh15.dieu_9.khoan_9.text_1.passage.s004,118_2025_QH15,118/2025/QH15,VEHICLE_IDENTIFIER,số hộ chiếu,34,45,0.9,entities_probe_2000,,,"họ tên, số định danh cá nhân hoặc ", của người đại diện theo pháp luật;,"họ tên, số định danh cá nhân hoặc số hộ chiếu của người đại diện theo pháp luật;"
,,,,ent_a940dde48d8efc98,118_2025_qh15.dieu_9.khoan_9.text_1.passage.s004,118_2025_QH15,118/2025/QH15,REGULATED_SUBJECT,người đại diện theo pháp luật,50,79,0.9,entities_probe_2000,,,"họ tên, số định danh cá nhân hoặc số hộ chiếu của ",;,"họ tên, số định danh cá nhân hoặc số hộ chiếu của người đại diện theo pháp luật;"
,,,,ent_3d5ee62a13a282cf,118_2025_qh15.dieu_4.khoan_9.text_1.passage.s006,118_2025_QH15,118/2025/QH15,CONDITION,thời gian lưu trú,0,17,0.9,entities_probe_2000,,,,;,thời gian lưu trú;
,,,,ent_ba25eb4cf5bd7b42,118_2025_qh15.dieu_7.khoan_9.text_1.passage.s008,118_2025_QH15,118/2025/QH15,DOCUMENT_OR_PERMIT,chứng nhận đăng ký xe,23,44,0.9,entities_probe_2000,,,chưa thực hiện cấp đổi , tại lần kiểm định tiếp theo sau khi phương tiện đã được cấp chứng nhận cải tạo;,chưa thực hiện cấp đổi chứng nhận đăng ký xe tại lần kiểm định tiếp theo sau khi phương tiện đã được cấp chứng nhận cải tạo;
,,,,ent_6feb33baa7cfb9c5,118_2025_qh15.dieu_7.khoan_9.text_1.passage.s008,118_2025_QH15,118/2025/QH15,PROCEDURE,lần kiểm định tiếp theo,49,72,0.9,entities_probe_2000,,,chưa thực hiện cấp đổi chứng nhận đăng ký xe tại , sau khi phương tiện đã được cấp chứng nhận cải tạo;,chưa thực hiện cấp đổi chứng nhận đăng ký xe tại lần kiểm định tiếp theo sau khi phương tiện đã được cấp chứng nhận cải tạo;
,,,,ent_6241fa7bfec3713b,118_2025_qh15.dieu_7.khoan_9.text_1.passage.s008,118_2025_QH15,118/2025/QH15,VEHICLE_TYPE,phương tiện,81,92,0.9,entities_probe_2000,,,chưa thực hiện cấp đổi chứng nhận đăng ký xe tại lần kiểm định tiếp theo sau khi , đã được cấp chứng nhận cải tạo;,chưa thực hiện cấp đổi chứng nhận đăng ký xe tại lần kiểm định tiếp theo sau khi phương tiện đã được cấp chứng nhận cải tạo;
,,,,ent_07b5f0405a01f8a0,118_2025_qh15.dieu_7.khoan_9.text_1.passage.s008,118_2025_QH15,118/2025/QH15,DOCUMENT_OR_PERMIT,chứng nhận cải tạo,105,123,0.9,entities_probe_2000,,,cấp đổi chứng nhận đăng ký xe tại lần kiểm định tiếp theo sau khi phương tiện đã được cấp ,;,chưa thực hiện cấp đổi chứng nhận đăng ký xe tại lần kiểm định tiếp theo sau khi phương tiện đã được cấp chứng nhận cải tạo;
,,,,ent_67491ef0885b4ce7,118_2025_qh15.dieu_1.khoan_2.text_1.passage.s041,118_2025_QH15,118/2025/QH15,AUTHORITY,Bộ trưởng Bộ Công an,3,23,0.9,entities_probe_2000,,,6. ," quy định chi tiết các biện pháp cảnh vệ quy định tại Điều này."".","6. Bộ trưởng Bộ Công an quy định chi tiết các biện pháp cảnh vệ quy định tại Điều này.""."
,,,,ent_1a4db85979793c8e,119_2024_nd_cp.dieu_30.khoan_3.passage.s001,119_2024_NDCP,119/2024/ND-CP,AUTHORITY,Bộ Thông tin và Truyền thông,0,28,1.0,entities_probe_2000,,,,,Bộ Thông tin và Truyền thông
,,,,ent_d64c87df09f9d2fb,119_2024_nd_cp.dieu_32.khoan_3.diem_b.passage.s001,119_2024_NDCP,119/2024/ND-CP,TIME_OR_DURATION,45 ngày làm việc,53,69,1.0,entities_probe_2000,,,"Thời hạn xử lý đề nghị tra soát, khiếu nại không quá "," kể từ ngày tiếp nhận đề nghị tra soát, khiếu nại lần đầu của chủ phương tiện.","Thời hạn xử lý đề nghị tra soát, khiếu nại không quá 45 ngày làm việc kể từ ngày tiếp nhận đề nghị tra soát, khiếu nại lần đầu của chủ phương tiện."
,,,,ent_d8c437ce57f3e646,119_2024_nd_cp.dieu_33.khoan_5.passage.s001,119_2024_NDCP,119/2024/ND-CP,PROCEDURE,chế độ báo cáo,10,24,1.0,entities_probe_2000,,,Thực hiện , theo quy định.,Thực hiện chế độ báo cáo theo quy định.
,,,,ent_8f1823f5b4ab8b5a,119_2024_nd_cp.dieu_35.khoan_5.passage.s001,119_2024_NDCP,119/2024/ND-CP,PROCEDURE,chế độ báo cáo,10,24,1.0,entities_probe_2000,,,Thực hiện , theo quy định.,Thực hiện chế độ báo cáo theo quy định.
,,,,ent_518b8535da1aee20,119_2024_nd_cp.dieu_4.khoan_1.passage.s001,119_2024_NDCP,119/2024/ND-CP,PROCEDURE,công tác thanh toán điện tử,27,54,1.0,entities_probe_2000,,,Bảo đảm tính minh bạch của ," các loại phí, giá, tiền dịch vụ liên quan đến hoạt động giao thông của phương tiện.","Bảo đảm tính minh bạch của công tác thanh toán điện tử các loại phí, giá, tiền dịch vụ liên quan đến hoạt động giao thông của phương tiện."
,,,,ent_8092da77d51a4786,12_2017_qh14.dieu_1.khoan_127.text_1.passage.s002,12_2017_QH14,12/2017/QH14,SANCTION,phạt tiền từ 20.000.000 đồng đến 200.000.000 đồng,111,160,0.5,entities_probe_2000,,," định về hoạt động xuất bản thuộc một trong các trường hợp sau đây, thì bị phạt cảnh cáo, ",", phạt cải tạo không giam giữ đến 02 năm hoặc phạt tù từ 03 tháng đến 02 năm: a) In 2.000 ","Người nào vi phạm quy định về hoạt động xuất bản thuộc một trong các trường hợp sau đây, thì bị phạt cảnh cáo, phạt tiền từ 20.000.000 đồng đến 200.000.000 đồng, phạt cải tạo không giam giữ đến 02 năm hoặc phạt tù từ 03 tháng đến 02 năm: a) In 2.000 bản trở lên đối với từng xuất bản phẩm mà không có quyết định xuất bản, không có giấy phép xuất bản tài liệu không kinh doanh hoặc không có bản thảo đã được ký duyệt theo quy định của pháp luật;"
,,,,ent_019d8a3535e40ef7,12_2017_qh14.dieu_1.khoan_127.text_1.passage.s002,12_2017_QH14,12/2017/QH14,SANCTION,phạt cải tạo không giam giữ đến 02 năm,162,200,0.5,entities_probe_2000,,,"ờng hợp sau đây, thì bị phạt cảnh cáo, phạt tiền từ 20.000.000 đồng đến 200.000.000 đồng, ", hoặc phạt tù từ 03 tháng đến 02 năm: a) In 2.000 bản trở lên đối với từng xuất bản phẩm m,"Người nào vi phạm quy định về hoạt động xuất bản thuộc một trong các trường hợp sau đây, thì bị phạt cảnh cáo, phạt tiền từ 20.000.000 đồng đến 200.000.000 đồng, phạt cải tạo không giam giữ đến 02 năm hoặc phạt tù từ 03 tháng đến 02 năm: a) In 2.000 bản trở lên đối với từng xuất bản phẩm mà không có quyết định xuất bản, không có giấy phép xuất bản tài liệu không kinh doanh hoặc không có bản thảo đã được ký duyệt theo quy định của pháp luật;"
,,,,ent_e90a26abbd67c680,12_2017_qh14.dieu_1.khoan_127.text_1.passage.s002,12_2017_QH14,12/2017/QH14,SANCTION,phạt tù từ 03 tháng đến 02 năm,206,236,0.5,entities_probe_2000,,,"tiền từ 20.000.000 đồng đến 200.000.000 đồng, phạt cải tạo không giam giữ đến 02 năm hoặc ",": a) In 2.000 bản trở lên đối với từng xuất bản phẩm mà không có quyết định xuất bản, khôn","Người nào vi phạm quy định về hoạt động xuất bản thuộc một trong các trường hợp sau đây, thì bị phạt cảnh cáo, phạt tiền từ 20.000.000 đồng đến 200.000.000 đồng, phạt cải tạo không giam giữ đến 02 năm hoặc phạt tù từ 03 tháng đến 02 năm: a) In 2.000 bản trở lên đối với từng xuất bản phẩm mà không có quyết định xuất bản, không có giấy phép xuất bản tài liệu không kinh doanh hoặc không có bản thảo đã được ký duyệt theo quy định của pháp luật;"
,,,,ent_0a2697649b13897d,12_2017_qh14.dieu_1.khoan_41.diem_b.text_1.passage.s002,12_2017_QH14,12/2017/QH14,SANCTION,phạt tiền từ 1.000.000.000 đồng đến 3.000.000.000 đồng,118,172,0.5,entities_probe_2000,,,"các trường hợp quy định tại các điểm a, d, đ, e, g, h, i, k và l khoản 2 Điều này, thì bị ",;,"b) Phạm tội thuộc một trong các trường hợp quy định tại các điểm a, d, đ, e, g, h, i, k và l khoản 2 Điều này, thì bị phạt tiền từ 1.000.000.000 đồng đến 3.000.000.000 đồng;"
,,,,ent_c1fc8fda073edf73,12_2017_qh14.dieu_1.khoan_51.text_1.passage.s007,12_2017_QH14,12/2017/QH14,CONDITION,100 người trở lên,35,52,1.0,entities_probe_2000,,,c) Quy mô mạng lưới người tham gia ,.,c) Quy mô mạng lưới người tham gia 100 người trở lên.
,,,,ent_7c617a89be1e520d,12_2017_qh14.dieu_1.khoan_97.text_1.passage.s007,12_2017_QH14,12/2017/QH14,CONDITION,02 người trở lên,53,69,1.0,entities_probe_2000,,,b) Gây thương tích hoặc gây tổn hại cho sức khỏe của , mà tổng tỷ lệ tổn thương cơ thể của những người này từ 122% đến 200%;,b) Gây thương tích hoặc gây tổn hại cho sức khỏe của 02 người trở lên mà tổng tỷ lệ tổn thương cơ thể của những người này từ 122% đến 200%;
,,,,ent_182a58926b101c78,12_2017_qh14.dieu_1.khoan_97.text_1.passage.s007,12_2017_QH14,12/2017/QH14,CONDITION,122% đến 200%,125,138,1.0,entities_probe_2000,,, cho sức khỏe của 02 người trở lên mà tổng tỷ lệ tổn thương cơ thể của những người này từ ,;,b) Gây thương tích hoặc gây tổn hại cho sức khỏe của 02 người trở lên mà tổng tỷ lệ tổn thương cơ thể của những người này từ 122% đến 200%;
,,,,ent_d90f7f732538c267,12_2017_qh14.dieu_1.khoan_33.text_1.passage.s008,12_2017_QH14,12/2017/QH14,CONDITION,"an ninh, trật tự, an toàn xã hội",25,57,1.0,entities_probe_2000,,,h) Gây ảnh hưởng xấu đến ,;,"h) Gây ảnh hưởng xấu đến an ninh, trật tự, an toàn xã hội;"
,,,,ent_efa546b0de842a32,12_2017_qh14.dieu_1.khoan_85.text_1.passage.s008,12_2017_QH14,12/2017/QH14,CONDITION,02 người trở lên,53,69,1.0,entities_probe_2000,,,c) Gây thương tích hoặc gây tổn hại cho sức khỏe của , mà tổng tỷ lệ tổn thương cơ thể của những người này từ 61% đến 121%;,c) Gây thương tích hoặc gây tổn hại cho sức khỏe của 02 người trở lên mà tổng tỷ lệ tổn thương cơ thể của những người này từ 61% đến 121%;
,,,,ent_9d5bb0534fc8b6be,12_2017_qh14.dieu_1.khoan_85.text_1.passage.s008,12_2017_QH14,12/2017/QH14,CONDITION,61% đến 121%,125,137,1.0,entities_probe_2000,,, cho sức khỏe của 02 người trở lên mà tổng tỷ lệ tổn thương cơ thể của những người này từ ,;,c) Gây thương tích hoặc gây tổn hại cho sức khỏe của 02 người trở lên mà tổng tỷ lệ tổn thương cơ thể của những người này từ 61% đến 121%;
,,,,ent_f69e96a0ef01eae2,12_2017_qh14.dieu_1.khoan_25.text_1.passage.s009,12_2017_QH14,12/2017/QH14,CONDITION,nhiễm HIV,16,25,0.9,entities_probe_2000,,,b) Biết mình bị , mà vẫn phạm tội;,b) Biết mình bị nhiễm HIV mà vẫn phạm tội;
,,,,ent_a5e6f70489fc7e31,12_2017_qh14.dieu_1.khoan_25.text_1.passage.s009,12_2017_QH14,12/2017/QH14,VIOLATION_OR_BEHAVIOR,phạm tội,33,41,0.9,entities_probe_2000,,,b) Biết mình bị nhiễm HIV mà vẫn ,;,b) Biết mình bị nhiễm HIV mà vẫn phạm tội;
,,,,ent_1e251e9cbbb81d7b,12_2017_qh14.dieu_1.khoan_82.text_1.passage.s009,12_2017_QH14,12/2017/QH14,CONSEQUENCE_OR_HARM,Làm chết 03 người trở lên,92,117,0.9,entities_probe_2000,,," Phạm tội thuộc một trong các trường hợp sau đây, thì bị phạt tù từ 07 năm đến 15 năm: a) ",;,"3. Phạm tội thuộc một trong các trường hợp sau đây, thì bị phạt tù từ 07 năm đến 15 năm: a) Làm chết 03 người trở lên;"
,,,,ent_fdf4df637443b6e0,12_2017_qh14.dieu_1.khoan_23.text_1.passage.s010,12_2017_QH14,12/2017/QH14,VIOLATION_OR_BEHAVIOR,Tái phạm nguy hiểm,3,21,0.9,entities_probe_2000,,,i) ,.,i) Tái phạm nguy hiểm.
,,,,ent_3bae85507b3e45ec,12_2017_qh14.dieu_1.khoan_79.text_1.passage.s010,12_2017_QH14,12/2017/QH14,CONSEQUENCE_OR_HARM,Làm chết 02 người,3,20,0.9,entities_probe_2000,,,đ) ,;,đ) Làm chết 02 người;
,,,,ent_0be70af7562c79e6,12_2017_qh14.dieu_1.khoan_27.text_1.passage.s011,12_2017_QH14,12/2017/QH14,CONSEQUENCE_OR_HARM,bộ phận cơ thể,10,24,0.9,entities_probe_2000,,,b) Đã lấy , của nạn nhân;,b) Đã lấy bộ phận cơ thể của nạn nhân;
,,,,ent_f8fce0c46f6f49f4,12_2017_qh14.dieu_1.khoan_97.text_1.passage.s012,12_2017_QH14,12/2017/QH14,CONSEQUENCE_OR_HARM,Gây thiệt hại về tài sản,3,27,0.9,entities_probe_2000,,,c) , 1.500.000.000 đồng trở lên.,c) Gây thiệt hại về tài sản 1.500.000.000 đồng trở lên.
,,,,ent_b362b924ad840f2e,12_2017_qh14.dieu_1.khoan_78.text_1.passage.s016,12_2017_QH14,12/2017/QH14,CONSEQUENCE_OR_HARM,Gây thiệt hại về tài sản,3,27,0.9,entities_probe_2000,,,c) , từ 500.000.000 đồng đến dưới 1.500.000.000 đồng.,c) Gây thiệt hại về tài sản từ 500.000.000 đồng đến dưới 1.500.000.000 đồng.
,,,,ent_ff17c5d2072f8980,12_2025_tt_bca.dieu_4.khoan_2.diem_c.text_2.passage.s001,12_2025_TTBCA,12/2025/TT-BCA,LICENSE_CLASS,hạng B,319,325,1.0,regex_license_class,regex_supplement,,"gã tư có đèn tín hiệu điều khiển giao thông, qua đường vòng quanh co, ghép xe vào nơi đỗ (", và C1 thực hiện ghép xe dọc;,"Người dự sát hạch phải điều khiển xe qua các bài sát hạch đã bố trí tại trung tâm sát hạch lái xe gồm: xuất phát, dừng xe nhường đường cho người đi bộ, dừng và khởi hành xe trên dốc, qua vệt bánh xe và đường vòng vuông góc, qua ngã tư có đèn tín hiệu điều khiển giao thông, qua đường vòng quanh co, ghép xe vào nơi đỗ (hạng B và C1 thực hiện ghép xe dọc;"
,,,,ent_2eabb47cab47b2a5,12_2025_tt_bca.dieu_4.khoan_2.diem_c.text_2.passage.s001,12_2025_TTBCA,12/2025/TT-BCA,LICENSE_CLASS,C1,329,331,1.0,regex_license_class,regex_supplement,,"èn tín hiệu điều khiển giao thông, qua đường vòng quanh co, ghép xe vào nơi đỗ (hạng B và ", thực hiện ghép xe dọc;,"Người dự sát hạch phải điều khiển xe qua các bài sát hạch đã bố trí tại trung tâm sát hạch lái xe gồm: xuất phát, dừng xe nhường đường cho người đi bộ, dừng và khởi hành xe trên dốc, qua vệt bánh xe và đường vòng vuông góc, qua ngã tư có đèn tín hiệu điều khiển giao thông, qua đường vòng quanh co, ghép xe vào nơi đỗ (hạng B và C1 thực hiện ghép xe dọc;"
,,,,ent_6dd4e5a43014c8af,12_2025_tt_bca.dieu_23.khoan_3.diem_b.passage.s002,12_2025_TTBCA,12/2025/TT-BCA,AUTHORITY,Phòng Cảnh sát giao thông,34,59,1.0,entities_probe_2000,,overlap_conflict,"Trường hợp phát hiện có nghi vấn, ", có văn bản đề nghị đơn vị cấp giấy phép lái xe xác minh giấy phép lái xe đã cấp theo mẫu ,"Trường hợp phát hiện có nghi vấn, Phòng Cảnh sát giao thông có văn bản đề nghị đơn vị cấp giấy phép lái xe xác minh giấy phép lái xe đã cấp theo mẫu số 01 Phụ lục XI ban hành kèm theo Thông tư này, khi chưa có kết quả xác minh giấy phép lái xe thì chưa đổi giấy phép lái xe."
,,,,ent_6db9a99a455d1865,12_2025_tt_bca.dieu_23.khoan_3.diem_b.passage.s002,12_2025_TTBCA,12/2025/TT-BCA,AUTHORITY,đơn vị cấp giấy phép lái xe,79,106,1.0,entities_probe_2000,overlap_conflict,overlap_conflict,"Trường hợp phát hiện có nghi vấn, Phòng Cảnh sát giao thông có văn bản đề nghị ", xác minh giấy phép lái xe đã cấp theo mẫu số 01 Phụ lục XI ban hành kèm theo Thông tư này,"Trường hợp phát hiện có nghi vấn, Phòng Cảnh sát giao thông có văn bản đề nghị đơn vị cấp giấy phép lái xe xác minh giấy phép lái xe đã cấp theo mẫu số 01 Phụ lục XI ban hành kèm theo Thông tư này, khi chưa có kết quả xác minh giấy phép lái xe thì chưa đổi giấy phép lái xe."
,,,,ent_bca88000b5934258,12_2025_tt_bca.dieu_23.khoan_3.diem_b.passage.s002,12_2025_TTBCA,12/2025/TT-BCA,DOCUMENT_OR_PERMIT,giấy phép lái xe,90,106,1.0,entities_probe_2000,overlap_conflict,overlap_conflict,"Trường hợp phát hiện có nghi vấn, Phòng Cảnh sát giao thông có văn bản đề nghị đơn vị cấp ", xác minh giấy phép lái xe đã cấp theo mẫu số 01 Phụ lục XI ban hành kèm theo Thông tư này,"Trường hợp phát hiện có nghi vấn, Phòng Cảnh sát giao thông có văn bản đề nghị đơn vị cấp giấy phép lái xe xác minh giấy phép lái xe đã cấp theo mẫu số 01 Phụ lục XI ban hành kèm theo Thông tư này, khi chưa có kết quả xác minh giấy phép lái xe thì chưa đổi giấy phép lái xe."
,,,,ent_19bce3118ca19605,12_2025_tt_bca.dieu_23.khoan_3.diem_b.passage.s002,12_2025_TTBCA,12/2025/TT-BCA,DOCUMENT_OR_PERMIT,mẫu số 01 Phụ lục XI,145,165,1.0,entities_probe_2000,,overlap_conflict,hông có văn bản đề nghị đơn vị cấp giấy phép lái xe xác minh giấy phép lái xe đã cấp theo ," ban hành kèm theo Thông tư này, khi chưa có kết quả xác minh giấy phép lái xe thì chưa đổ","Trường hợp phát hiện có nghi vấn, Phòng Cảnh sát giao thông có văn bản đề nghị đơn vị cấp giấy phép lái xe xác minh giấy phép lái xe đã cấp theo mẫu số 01 Phụ lục XI ban hành kèm theo Thông tư này, khi chưa có kết quả xác minh giấy phép lái xe thì chưa đổi giấy phép lái xe."
,,,,ent_22d9048d7870058d,12_2025_tt_bca.dieu_4.khoan_3.diem_a.text_1.passage.s002,12_2025_TTBCA,12/2025/TT-BCA,VEHICLE_TYPE,xe ô tô sát hạch,29,45,1.0,entities_probe_2000,,,Người dự sát hạch điều khiển ,", xử lý các tình huống trên đường giao thông và thực hiện theo hiệu lệnh của sát hạch viên","Người dự sát hạch điều khiển xe ô tô sát hạch, xử lý các tình huống trên đường giao thông và thực hiện theo hiệu lệnh của sát hạch viên;"
